ID,FLIGHT_DATE,FLIGHT_NUMBER,CORRELATION_ID,OPERATION_TYPE,METER_ID,METER_LOCATION,METER_TYPE,METER_STATUS,METER_START_TIME,METER_START_READING,METER_STATUS,METER_END_TIME,METER_END_READING,UNIT_OF_MEASUREMENT,AEROBILL_REMARK,RECONCILIATION_REQUIRED
15959,02-06-2026,6E5108,484086,ARR,PBB17,G17,PBB,ON,2026-06-02 09:04:00,0,OFF,2026-06-02 10:20:00,0,NULL,Not used: FGP,YES
15960,02-06-2026,6E5108,484085,ARR,PCA17,G17,PCA,ON,2026-06-02 09:07:00,864.3,OFF,2026-06-02 10:18:00,952.9,KWH,Not used: FGP,YES
15961,02-06-2026,6E2046,484094,ARR,PBB12R,G12R,PBB,ON,2026-06-02 10:02:00,0,OFF,2026-06-02 10:40:00,0,NULL,"Not used: FGP, PCA",YES
15962,02-06-2026,6E2122,484101,ARR,PBB13L,G13L,PBB,ON,2026-06-02 10:06:00,0,OFF,2026-06-02 10:58:00,0,NULL,,NO
15963,02-06-2026,6E295,484106,ARR,PBB14,G14,PBB,ON,2026-06-02 10:09:00,0,OFF,2026-06-02 11:20:00,0,NULL,,NO
15964,02-06-2026,6E295,484103,ARR,FGP14,G14,FGP,ON,2026-06-02 10:10:00,6473,OFF,2026-06-02 11:09:00,6490.9,KWH,,NO
15965,02-06-2026,6E295,484102,ARR,PCA14,G14,PCA,ON,2026-06-02 10:11:00,5066.6,OFF,2026-06-02 11:08:00,5139.5,KWH,,NO
15966,,,484576,,FGP12R,G12R,FGP,ON,2026-06-02 22:08:00,327.5,OFF,2026-06-03 13:39:00,389.6,KWH,,NO
15967,,,484575,,PCA12R,G12R,PCA,ON,2026-06-03 05:50:00,6221.8,OFF,2026-06-03 13:38:00,6359.4,KWH,,NO
15968,02-06-2026,6E5018,484111,ARR,PBB12L,G12L,PBB,ON,2026-06-02 10:23:00,0,OFF,2026-06-02 11:43:00,0,NULL,,NO
15969,02-06-2026,6E2086,484110,ARR,PBB15,G15,PBB,ON,2026-06-02 10:45:00,0,OFF,2026-06-02 11:40:00,0,NULL,,NO
